age,default,balance,housing,loan,duration,campaign,pdays,previous,job_unemployed,job_services,job_management,job_blue-collar,job_self-employed,job_technician,job_entrepreneur,job_admin.,job_student,job_housemaid,job_retired,marital_married,marital_single,education_primary,education_secondary,education_tertiary,poutcome_unknown,poutcome_failure,poutcome_other,y
40,0,1584,1,0,661,1,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
43,0,132,0,0,574,1,84,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
30,0,142,1,0,350,4,999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
49,0,902,0,0,210,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
34,0,5320,0,0,114,6,467,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
30,0,566,0,0,110,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
59,0,9976,1,0,57,2,999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
29,0,1448,0,0,217,1,184,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
47,0,447,0,1,126,1,999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
56,0,3337,1,0,99,3,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
40,0,36,1,0,240,3,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
61,0,4629,1,0,181,1,92,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
49,0,2370,1,1,56,1,103,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
51,0,1415,1,0,151,3,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
50,0,283,1,0,226,3,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
29,0,33,0,0,161,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45,0,2926,1,1,482,3,120,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
36,0,1587,1,0,200,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
35,0,793,1,0,106,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
53,0,4143,0,0,200,3,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
46,0,295,1,0,141,6,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
36,0,3064,1,0,1143,4,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
57,0,3777,1,0,65,2,999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
37,0,1050,1,0,586,3,999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
42,0,759,0,0,97,1,169,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
43,0,1577,1,0,87,1,999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
32,0,-399,1,0,180,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
32,0,167,1,1,79,3,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,0,1667,1,0,164,2,179,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
34,0,1386,1,1,185,6,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
27,0,10,1,0,527,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
27,0,201,1,0,172,2,999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
34,0,943,0,0,96,4,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
43,0,0,1,1,539,8,204,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
43,0,24,0,0,68,1,363,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
59,0,593,0,0,64,2,999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
37,0,4030,1,0,178,5,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
31,0,401,0,0,96,3,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
37,0,1467,1,1,349,1,999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
58,0,3401,1,0,84,3,265,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
52,0,-888,0,0,135,1,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
50,0,-1,0,0,195,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
31,0,1407,1,0,142,3,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
47,0,1890,0,0,161,1,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
67,0,701,0,0,254,2,999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
32,0,357,1,0,175,2,999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
39,0,98,1,0,59,3,367,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
33,0,0,1,1,163,2,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
33,0,125,0,0,66,2,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
46,0,23,0,0,344,1,999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
54,0,541,1,0,237,3,999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
38,0,435,1,0,193,2,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
31,0,1545,1,1,207,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
35,0,0,1,0,1073,1,999,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
34,0,544,1,1,58,2,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
40,0,771,1,0,173,4,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,0,4885,1,1,400,2,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
37,0,395,1,0,219,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
22,0,47,0,0,69,3,999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
32,0,687,1,0,61,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
55,0,197,0,1,256,1,999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
26,0,512,1,1,206,5,239,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
46,0,271,1,0,134,4,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
50,0,1164,1,0,166,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
52,0,1944,1,0,238,3,323,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
28,0,775,0,0,603,2,999,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
47,0,126,1,0,2456,2,999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
35,0,94,1,1,208,5,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,0,152,1,0,158,2,999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
38,0,-469,1,0,209,12,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
44,0,4232,0,0,227,1,999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
34,0,2594,1,0,161,3,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
55,0,61,1,1,113,3,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
47,0,2246,1,0,330,1,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
44,0,2776,1,0,701,1,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
34,0,586,1,0,489,2,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
51,0,0,0,0,60,2,999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
39,0,6,1,0,122,3,357,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
29,0,584,1,0,541,19,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
34,0,-228,1,0,187,3,332,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
30,0,1211,1,0,176,1,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
32,0,0,0,0,66,1,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
46,0,4958,1,0,64,3,150,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
28,0,356,0,0,76,2,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
54,0,153,1,1,74,1,999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
36,0,9149,1,0,141,3,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
43,0,105,0,1,668,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
50,0,-84,1,0,101,1,999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
53,0,-905,1,0,213,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
45,0,0,0,0,145,10,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
28,0,781,0,0,125,6,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
27,0,842,0,0,273,1,91,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
33,0,215,1,0,543,12,999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
53,0,225,1,0,304,1,340,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
50,0,1111,1,0,50,1,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
42,0,83,0,1,184,1,999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
44,0,33,1,0,195,3,351,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
46,0,2558,1,0,107,1,167,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
57,0,23,1,0,25,8,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
51,0,518,1,0,76,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
35,0,714,1,0,135,22,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
50,0,8139,1,0,256,6,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
31,0,582,1,0,58,2,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
57,0,1592,0,1,78,4,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
34,0,2178,1,0,41,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
28,0,1466,1,0,40,1,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
31,0,156,0,0,657,7,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
34,0,351,1,0,467,1,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
56,0,359,1,0,220,4,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
24,0,174,1,1,487,1,999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
51,0,2139,0,0,176,2,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
37,0,378,1,0,514,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
34,0,1534,1,0,156,1,147,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46,0,2098,0,0,110,2,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
35,0,20,1,1,505,3,999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
48,0,750,1,0,90,6,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
51,0,1883,1,0,57,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
49,0,474,1,1,152,3,221,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
35,0,69,1,0,461,3,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41,0,618,0,0,1056,1,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
42,0,704,1,1,88,10,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
32,0,1031,1,0,84,1,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
28,0,304,0,0,516,1,999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
36,0,895,1,1,622,1,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
34,0,84,1,0,299,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
55,0,273,1,0,84,3,183,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
32,0,118,1,0,1275,1,999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
44,0,0,1,1,97,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
31,0,3283,0,0,258,1,73,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
61,0,4608,0,0,212,1,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
42,0,-422,0,0,31,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
51,1,-55,1,0,281,2,266,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
33,0,920,1,0,58,1,122,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
51,0,1840,1,0,312,3,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
29,0,-20,0,1,574,1,999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
32,0,1259,0,0,184,2,999,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
32,0,61,1,0,529,5,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
29,0,770,1,0,341,1,999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
34,0,-308,1,0,140,2,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
34,0,297,1,0,63,4,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
41,0,5110,1,0,231,1,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
36,0,4280,0,0,227,6,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
36,0,1327,0,0,174,2,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
48,0,1175,1,0,1476,3,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
25,0,304,0,0,226,2,999,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1
41,0,1536,0,0,54,2,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
34,0,0,1,1,172,4,999,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
51,0,463,1,0,213,5,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
52,0,278,1,0,688,2,999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
58,0,139,0,0,188,1,161,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
40,0,1206,0,1,201,5,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
41,0,-256,0,1,35,3,999,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
47,0,3696,0,0,250,2,181,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
42,0,3052,1,0,32,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
26,0,211,0,0,168,3,999,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
41,0,326,1,0,788,1,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
35,0,1949,1,0,200,3,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
52,0,2072,0,0,224,1,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
50,0,2142,1,0,309,2,224,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
54,0,3,0,1,443,1,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
38,0,7696,1,0,386,2,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
56,0,828,1,0,214,1,349,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
53,0,7,0,0,68,1,999,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
37,0,0,1,0,640,2,999,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
33,0,818,1,1,301,3,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
31,0,3,1,0,37,12,999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
65,0,300,0,0,105,1,999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
32,0,55,1,0,546,9,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
34,0,8309,1,1,50,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
26,0,454,1,1,28,18,999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
32,0,0,0,0,594,4,999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
38,0,-70,1,0,140,1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
45,1,-183,0,1,395,4,999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
35,0,8647,0,0,140,2,999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
37,0,403,1,0,318,2,338,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
40,0,838,1,0,619,3,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
38,0,13156,1,0,291,4,331,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
35,0,5304,1,0,340,1,183,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
34,0,1007,1,0,240,2,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
35,1,32,1,0,180,1,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
32,0,787,0,0,92,1,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
33,0,1439,1,0,178,2,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
41,0,231,0,0,352,2,999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
26,0,236,1,1,8,2,999,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
36,0,2944,0,0,882,8,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
32,0,228,0,0,176,1,288,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
39,0,607,1,0,454,2,364,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
49,0,1405,0,0,29,1,999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
36,0,1409,0,0,235,2,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
34,0,0,0,0,191,2,999,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
28,0,3412,1,0,22,4,999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
42,0,2974,1,0,187,5,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
47,0,8515,1,0,14,7,112,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
38,0,1205,1,0,45,4,153,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
51,0,12,1,0,150,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
38,0,5092,1,0,145,6,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
26,0,74,1,0,106,6,999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
37,0,4565,0,0,369,1,999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
61,0,1191,0,0,214,4,999,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
48,0,117,1,0,635,1,999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
60,0,0,0,0,130,3,999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
39,0,52,0,0,69,1,999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
37,0,4153,1,0,35,16,999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
30,0,1286,1,1,544,1,999,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
