age,default,balance,housing,loan,duration,campaign,previous,job_unemployed,job_self-employed,job_entrepreneur,job_student,job_housemaid,job_retired,marital_married,marital_single,education_primary,education_secondary,education_tertiary,poutcome_failure,poutcome_other,y
34,0,322,1,0,10,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
45,0,0,0,1,47,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
60,0,0,0,1,151,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35,0,71,1,0,836,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
36,0,219,1,1,270,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
38,0,62,0,0,212,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
32,0,493,0,0,289,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31,0,0,1,1,59,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27,0,-179,1,0,54,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
50,0,1138,0,0,219,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
29,0,200,1,0,322,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
37,0,346,1,0,390,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
34,0,2646,0,0,142,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
58,0,671,1,0,16,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
47,0,94,1,0,9,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,0,1657,1,0,566,2,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0
29,0,1992,0,0,202,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0
42,0,529,1,1,193,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
46,0,9328,1,0,725,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49,0,780,0,0,148,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0
51,0,9228,0,0,655,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
31,0,620,0,0,95,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
32,0,14,1,0,171,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
43,0,481,1,0,164,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0
42,0,0,0,0,370,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,0,7944,0,0,102,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
46,0,22,1,0,414,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
59,0,179,1,0,55,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
29,0,20,1,0,418,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
31,0,6248,1,0,154,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
43,0,38,1,0,197,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,0,13669,0,0,138,1,8,0,1,0,0,0,0,1,0,0,0,1,0,1,0
29,0,22171,1,0,44,1,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0
40,0,2805,1,0,173,6,23,0,0,0,0,0,0,1,0,1,0,0,1,0,0
41,0,4824,0,1,168,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
25,0,777,1,0,351,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
37,1,0,0,0,236,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,0,0,0,0,71,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,0,271,1,0,80,2,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0
37,0,896,0,1,343,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,0,802,0,0,569,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
46,0,67,0,0,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
44,0,310,1,0,200,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
47,0,214,1,1,168,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
46,0,324,1,0,293,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
33,0,11,1,0,104,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,0,9269,1,1,107,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
53,0,306,0,0,388,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
26,0,122,0,1,160,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
53,0,765,1,0,959,3,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1
27,0,872,1,0,1130,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,0,980,0,0,118,4,7,0,0,0,0,0,0,0,1,0,0,1,1,0,0
38,0,0,1,0,213,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
59,0,7179,0,0,150,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
38,0,950,0,0,210,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
31,0,-502,1,0,76,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
44,0,262,1,0,74,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
41,0,348,1,0,225,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,0,0,1,0,154,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
41,0,920,1,1,239,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
38,0,0,1,0,537,5,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0
33,0,3143,0,0,421,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
53,0,4086,0,0,14,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
34,0,0,1,0,116,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
32,0,202,1,0,429,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
59,0,2013,0,0,222,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1
28,0,-328,1,0,318,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,0,626,1,0,126,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
55,0,574,1,0,243,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,0,49,0,0,65,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
30,0,-559,1,1,98,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0
64,0,2923,0,0,120,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
33,0,386,0,0,253,1,4,0,0,0,0,0,0,1,0,0,1,0,1,0,1
30,0,34,1,0,289,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
49,1,-74,1,0,114,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,0,470,1,1,217,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,0,1174,1,0,192,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,0,273,0,0,58,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
33,0,353,1,0,107,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
26,0,3342,1,0,329,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
31,0,391,0,0,336,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
47,0,109,1,0,268,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30,0,7845,1,0,59,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35,0,2971,0,0,429,4,2,0,0,1,0,0,0,1,0,0,1,0,1,0,1
60,0,3387,0,0,636,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
33,0,5739,1,1,374,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31,0,2,1,1,112,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
43,0,1574,1,0,167,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
32,0,2204,1,0,11,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
57,0,27069,0,1,174,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
48,0,290,1,0,257,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
53,0,5715,0,0,287,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
48,0,1143,1,0,264,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
33,0,142,1,0,41,2,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0
52,0,230,1,0,198,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0
44,0,1136,1,1,345,2,7,0,0,1,0,0,0,0,1,0,0,1,0,1,0
32,0,0,0,0,126,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
56,0,401,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,0,17,1,1,81,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
45,0,1477,1,0,355,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
33,0,1158,1,0,25,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
56,0,-1206,1,0,382,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
46,0,451,1,1,389,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,0,1978,0,0,404,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
49,0,305,1,1,834,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
31,0,500,1,0,19,18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
38,0,8669,1,0,5,3,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0
30,0,2,1,1,1031,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
32,0,3601,0,0,171,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
47,0,57,0,0,253,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
39,0,12437,0,0,40,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
37,0,140,1,1,490,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
47,0,881,1,0,143,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0
33,0,273,1,0,803,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
48,0,428,1,0,127,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,0,4196,1,0,193,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
39,0,1438,1,0,212,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,0,50,1,0,89,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
56,0,3948,0,0,484,1,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0
28,0,318,1,0,4,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
35,0,319,1,0,221,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
29,0,11417,1,0,272,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
43,0,3274,1,0,680,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
51,0,2662,0,0,148,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
22,0,1161,0,1,119,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
50,0,13,1,0,76,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
48,0,1738,1,0,349,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,0,50,0,0,106,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,0,385,1,0,304,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
58,0,16264,0,0,215,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
52,0,1117,1,0,365,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,0,0,0,0,263,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30,0,0,1,0,661,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
42,0,360,1,0,110,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,0,569,0,1,348,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35,0,4286,1,0,357,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
35,0,378,1,0,427,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
32,0,883,1,0,798,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1
26,0,205,0,0,111,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
27,0,6421,0,0,147,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,0,1601,1,0,201,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
49,0,13229,0,1,77,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,0,0,1,0,77,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50,0,4,0,0,223,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0
27,0,14,0,0,72,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
50,0,388,0,0,701,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0,0,1,0,264,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,0,480,0,0,213,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
33,0,0,1,1,83,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
40,0,51,1,0,50,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
49,0,579,1,0,396,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35,0,221,1,0,150,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
43,0,667,1,0,228,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
44,0,3706,0,0,209,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
58,0,320,1,0,171,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40,0,1100,1,0,660,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
41,0,0,0,1,630,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
29,0,404,0,0,413,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
67,0,2301,0,0,124,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
36,0,70,1,0,219,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,0,1027,1,0,433,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
38,0,223,0,0,63,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
32,0,406,1,0,227,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38,0,16957,1,0,208,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0
32,0,577,0,0,101,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
28,0,12,1,0,73,3,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0
34,0,201,0,0,257,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
45,0,115,0,0,209,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35,0,444,1,0,244,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
33,0,13494,1,0,27,25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
45,0,1415,1,0,311,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
24,0,3298,1,0,227,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
43,0,8167,1,0,114,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
50,0,-94,0,1,75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
33,0,2727,0,0,205,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
58,0,1987,0,0,185,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
54,0,1114,1,0,81,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,0,3170,0,0,246,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
31,0,406,0,0,736,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
38,0,-314,1,0,66,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
59,0,2764,0,0,237,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0
48,0,705,0,0,108,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28,0,290,1,0,128,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
42,0,2030,1,1,196,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
59,0,1026,0,0,669,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
44,0,14,0,0,167,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,0,360,1,0,592,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
29,0,455,0,0,403,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
50,0,94,1,0,184,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
30,1,4,1,0,84,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
34,0,-370,1,0,748,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
52,0,428,1,0,153,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35,0,0,1,0,121,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
52,0,592,0,0,122,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
26,0,1064,0,0,113,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
34,0,1116,1,0,53,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
26,0,245,1,0,16,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
80,0,8304,0,0,681,1,11,0,0,0,0,0,1,1,0,0,1,0,0,0,0
35,0,8,0,0,93,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
58,0,0,0,0,506,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
33,0,106,0,0,175,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,0,994,0,0,119,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
27,0,362,1,0,332,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
51,0,3726,0,1,119,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
53,0,4,0,0,19,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
36,0,9,0,0,386,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
37,0,23,0,0,289,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,0,-568,1,1,860,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,0,15,0,0,184,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
38,0,7929,0,0,182,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,0,439,0,0,143,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,0,1689,1,0,645,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
42,0,179,1,0,96,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
58,0,2705,0,0,137,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
28,0,64,1,0,160,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,0,314,1,0,279,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,0,0,0,1,275,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23,0,780,0,0,267,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
56,1,1238,0,0,1558,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
48,0,1167,1,1,264,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
36,0,470,1,0,101,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
42,0,372,1,1,121,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,0,468,1,0,109,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
52,0,238,1,0,101,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
47,0,150,0,0,52,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,0,1091,0,0,47,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
58,0,225,0,0,122,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
40,0,1734,1,0,169,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30,0,3096,0,0,123,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
40,0,89,1,1,148,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
70,0,4531,0,0,445,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
40,0,1325,0,0,150,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,0,1852,0,0,362,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30,0,2581,0,0,221,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
53,0,3177,0,0,92,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
57,0,5431,1,1,383,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
23,0,500,1,0,111,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
40,0,109,0,0,402,22,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
26,0,396,1,0,302,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
35,0,2486,1,0,265,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,0,948,0,0,204,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,0,2814,0,0,81,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
39,0,1367,0,0,43,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
57,0,0,0,1,104,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
66,0,206,0,0,479,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
44,0,2524,0,0,82,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
44,0,1989,1,1,106,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
44,0,7138,0,0,809,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
58,0,543,0,1,264,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,0,1012,1,0,33,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,0,90,1,0,263,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
49,0,2146,1,0,1516,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1
36,0,-381,1,0,30,29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
28,0,4287,0,0,171,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,0,0,1,0,145,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
37,0,121,0,0,22,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36,0,42,1,0,102,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
28,0,227,0,0,278,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
44,0,-27,1,1,100,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
48,0,865,1,0,78,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
25,0,453,1,0,134,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
37,0,66,0,0,1164,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
56,0,-59,0,1,127,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
