age,job,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,poutcome,y
54,management,divorced,tertiary,0,3222,0,0,67,2,999,0,unknown,0
41,blue-collar,divorced,secondary,0,174,1,0,367,2,297,1,other,0
40,technician,single,secondary,0,591,0,1,87,6,999,0,unknown,0
50,blue-collar,divorced,primary,0,388,0,0,701,1,999,0,unknown,0
40,unemployed,married,secondary,0,219,1,0,204,2,196,1,failure,0
27,admin.,divorced,secondary,0,451,1,0,652,1,999,0,unknown,1
60,retired,married,primary,0,5,0,0,63,2,999,0,unknown,0
28,admin.,single,secondary,0,177,1,1,150,1,999,0,unknown,0
52,services,married,secondary,0,657,0,0,398,2,460,2,failure,1
37,management,married,tertiary,0,1315,0,0,224,1,999,0,unknown,1
51,blue-collar,married,primary,0,1466,1,0,406,2,999,0,unknown,0
41,technician,single,secondary,0,879,0,1,60,4,999,0,unknown,0
35,blue-collar,single,primary,0,293,1,0,521,2,999,0,unknown,0
38,admin.,married,secondary,0,424,1,0,279,1,999,0,unknown,0
34,blue-collar,married,secondary,0,1831,1,0,203,2,999,0,unknown,0
39,blue-collar,married,primary,0,111,0,0,201,2,999,0,unknown,0
34,blue-collar,married,primary,0,455,1,0,372,3,999,0,unknown,0
27,services,single,secondary,0,-195,1,0,391,1,999,0,unknown,1
32,management,single,tertiary,0,3616,0,0,165,2,999,0,unknown,0
57,blue-collar,married,secondary,0,14093,0,0,231,5,999,0,unknown,0
41,unknown,single,tertiary,0,1567,0,0,291,2,999,0,unknown,0
41,admin.,married,tertiary,0,5426,1,0,149,2,999,0,unknown,0
30,admin.,single,tertiary,0,261,0,0,233,1,137,20,failure,0
36,blue-collar,divorced,secondary,0,2843,0,0,473,1,182,1,success,0
31,unemployed,single,primary,0,406,0,0,736,1,999,0,unknown,1
36,blue-collar,married,secondary,0,0,1,0,337,1,999,0,unknown,0
38,management,single,tertiary,0,493,1,0,553,1,367,7,failure,0
49,technician,married,secondary,0,5996,0,0,345,2,999,0,unknown,0
57,services,single,primary,0,3777,1,0,65,2,999,0,unknown,0
34,management,single,secondary,0,524,0,0,9,1,999,0,unknown,0
32,management,single,tertiary,0,574,1,0,259,2,145,3,failure,0
37,blue-collar,married,secondary,0,427,1,1,371,3,999,0,unknown,0
33,self-employed,married,tertiary,0,483,1,0,280,2,999,0,unknown,0
56,unemployed,married,primary,0,3391,0,0,243,1,999,0,unknown,1
27,housemaid,married,primary,0,0,1,0,435,3,999,0,unknown,0
21,student,single,secondary,0,2488,0,0,258,6,169,3,success,1
58,management,married,tertiary,0,1517,1,0,7,5,999,0,unknown,0
32,self-employed,married,secondary,0,217,1,1,317,5,999,0,unknown,0
33,blue-collar,single,secondary,0,22,0,0,76,2,207,1,failure,0
25,student,single,secondary,0,331,0,0,170,4,999,0,unknown,1
25,technician,single,secondary,0,505,0,1,386,2,999,0,unknown,1
30,services,married,secondary,0,1808,1,0,83,2,999,0,unknown,0
22,admin.,single,secondary,0,4111,0,1,65,1,999,0,unknown,0
39,blue-collar,married,primary,0,52,0,0,69,1,999,0,unknown,0
46,management,divorced,tertiary,0,25,0,0,564,2,999,0,unknown,0
31,admin.,divorced,secondary,0,1890,1,0,588,1,999,0,unknown,0
45,blue-collar,married,primary,0,419,0,0,113,4,999,0,unknown,0
32,technician,married,secondary,0,2693,1,0,16,1,999,0,unknown,0
36,blue-collar,married,secondary,0,-231,0,1,779,2,999,0,unknown,0
51,management,single,tertiary,1,-55,1,0,281,2,266,6,failure,0
34,self-employed,single,tertiary,0,462,0,0,1877,3,999,0,unknown,1
24,unemployed,single,secondary,0,119,0,0,51,1,999,0,unknown,0
45,technician,single,secondary,0,586,0,1,32,3,999,0,unknown,0
32,blue-collar,single,secondary,0,228,0,0,176,1,288,3,failure,0
77,retired,divorced,tertiary,0,4659,0,0,161,1,999,0,unknown,1
41,blue-collar,married,primary,0,168,1,0,187,3,999,0,unknown,0
37,blue-collar,married,primary,0,0,1,0,24,1,999,0,unknown,0
43,blue-collar,married,unknown,1,-715,1,0,67,3,999,0,unknown,0
48,admin.,married,unknown,0,0,1,0,85,1,168,2,failure,0
27,technician,single,secondary,0,769,1,0,317,2,999,0,unknown,0
33,management,single,tertiary,0,0,0,0,236,10,999,0,unknown,0
29,admin.,single,secondary,0,428,1,1,54,1,345,2,failure,0
34,management,single,tertiary,0,0,0,0,71,1,999,0,unknown,0
52,management,married,tertiary,0,-970,1,0,489,1,999,0,unknown,1
60,management,married,unknown,0,6313,0,0,39,2,999,0,unknown,0
32,management,divorced,tertiary,0,948,0,0,204,2,999,0,unknown,0
32,management,single,tertiary,0,0,1,0,455,2,999,0,unknown,0
56,services,divorced,unknown,0,1877,1,0,86,1,999,0,unknown,0
31,management,single,tertiary,0,874,1,0,190,2,999,0,unknown,0
42,admin.,married,secondary,0,323,1,1,280,2,999,0,unknown,0
35,management,married,tertiary,0,106,0,1,588,2,999,0,unknown,0
56,retired,married,primary,0,1906,0,1,45,9,999,0,unknown,0
48,technician,married,secondary,0,1152,1,0,168,5,999,0,unknown,0
46,admin.,married,secondary,0,179,1,0,194,4,436,1,other,0
37,technician,single,unknown,0,391,1,0,103,3,999,0,unknown,0
41,entrepreneur,married,unknown,0,89,1,0,333,2,999,0,unknown,0
36,management,single,tertiary,0,442,1,1,102,3,999,0,unknown,0
45,unemployed,divorced,primary,1,-249,1,1,92,1,999,0,unknown,0
55,entrepreneur,married,secondary,0,8104,0,0,213,2,999,0,unknown,0
39,technician,married,secondary,0,501,0,0,289,1,999,0,unknown,0
35,technician,divorced,secondary,0,308,0,0,77,2,999,0,unknown,0
55,admin.,married,secondary,0,602,0,0,324,3,90,2,success,1
55,technician,married,secondary,0,273,1,0,84,3,183,3,failure,0
27,self-employed,single,secondary,0,50,0,0,168,1,999,0,unknown,0
34,technician,married,secondary,0,1641,1,0,380,1,999,0,unknown,0
34,blue-collar,married,tertiary,0,20,0,0,10,1,999,0,unknown,0
25,admin.,single,secondary,0,4590,1,0,199,2,999,0,unknown,0
41,admin.,single,secondary,0,-256,0,1,35,3,999,0,unknown,0
43,services,married,secondary,0,978,1,1,82,2,999,0,unknown,0
28,management,single,tertiary,0,80,0,0,676,2,146,2,failure,1
31,admin.,single,secondary,0,2104,1,0,455,1,999,0,unknown,0
78,housemaid,married,secondary,0,499,0,0,80,4,999,0,unknown,0
45,blue-collar,divorced,secondary,0,1269,1,0,549,2,999,0,unknown,0
48,technician,married,tertiary,0,310,0,0,135,1,999,0,unknown,0
32,blue-collar,single,secondary,0,1143,1,1,412,1,999,0,unknown,0
42,technician,married,secondary,0,2980,0,0,101,3,999,0,unknown,0
37,management,single,tertiary,0,37,0,0,253,2,999,0,unknown,0
40,admin.,single,secondary,0,462,1,1,272,1,335,4,other,0
32,admin.,married,secondary,0,1031,1,0,84,1,999,0,unknown,0
42,management,married,tertiary,0,9009,0,0,135,2,999,0,unknown,0
43,admin.,married,secondary,0,-465,1,1,166,1,999,0,unknown,0
44,admin.,married,secondary,0,5181,1,1,18,7,999,0,unknown,0
37,admin.,married,secondary,0,176,1,0,147,2,347,1,failure,0
37,unknown,married,unknown,0,1699,0,0,63,1,999,0,unknown,0
37,admin.,married,tertiary,0,0,1,0,65,2,119,1,failure,0
28,technician,single,tertiary,0,172,1,1,194,2,999,0,unknown,0
32,services,single,secondary,0,0,0,1,333,2,999,0,unknown,0
34,admin.,single,secondary,0,6979,1,0,14,5,999,0,unknown,0
40,admin.,divorced,secondary,0,6,0,0,140,1,999,0,unknown,0
34,services,married,secondary,0,-62,1,0,109,3,999,0,unknown,0
34,self-employed,married,tertiary,0,1972,1,0,61,2,999,0,unknown,0
34,admin.,married,tertiary,0,899,1,0,377,3,7,4,success,0
37,services,single,secondary,0,21,1,0,96,1,271,2,other,0
36,technician,married,secondary,0,23,1,0,152,2,347,1,failure,0
56,retired,married,secondary,0,-1206,1,0,382,2,999,0,unknown,1
49,blue-collar,married,primary,0,0,1,1,97,6,999,0,unknown,0
33,self-employed,married,secondary,0,215,1,0,543,12,999,0,unknown,0
30,management,single,tertiary,0,1372,0,0,240,2,999,0,unknown,0
36,services,married,secondary,0,1981,0,0,48,2,999,0,unknown,0
23,student,single,secondary,0,9216,0,0,471,2,999,0,unknown,0
57,retired,divorced,secondary,0,39,1,0,354,3,999,0,unknown,0
27,blue-collar,single,secondary,0,5563,1,0,435,2,999,0,unknown,0
38,services,married,secondary,0,1,0,1,152,2,999,0,unknown,0
42,technician,married,tertiary,0,782,0,0,285,1,999,0,unknown,0
75,retired,married,secondary,0,3771,0,0,185,1,181,2,success,1
34,technician,single,tertiary,0,992,1,0,301,1,88,2,success,0
48,technician,married,secondary,0,1526,0,0,273,2,999,0,unknown,0
35,technician,single,tertiary,0,2658,1,0,768,2,141,3,failure,1
39,management,divorced,tertiary,0,1315,1,0,1337,4,126,1,failure,0
29,blue-collar,single,tertiary,0,455,0,0,403,1,999,0,unknown,1
45,technician,single,tertiary,0,0,1,0,139,2,999,0,unknown,0
42,technician,married,secondary,0,2030,1,1,196,1,999,0,unknown,0
29,technician,married,secondary,0,1599,1,0,115,1,61,1,failure,0
38,services,single,secondary,0,-196,1,0,60,1,271,1,failure,0
56,retired,married,secondary,0,1333,0,0,17,14,999,0,unknown,0
36,technician,single,secondary,0,9149,1,0,141,3,999,0,unknown,0
25,blue-collar,single,secondary,0,-350,1,0,95,3,999,0,unknown,0
38,technician,married,tertiary,0,432,1,0,10,2,373,1,other,0
57,self-employed,married,secondary,0,11494,0,0,198,1,999,0,unknown,0
31,management,married,tertiary,1,-253,0,0,220,4,999,0,unknown,0
42,management,married,tertiary,0,372,1,0,654,2,999,0,unknown,1
45,technician,married,secondary,0,1410,0,0,71,2,999,0,unknown,0
30,blue-collar,married,secondary,0,975,1,0,256,2,351,2,failure,0
49,blue-collar,married,primary,0,305,1,1,834,10,999,0,unknown,0
49,services,married,secondary,0,400,0,0,151,3,999,0,unknown,0
53,retired,married,tertiary,0,-22,1,0,20,3,999,0,unknown,0
37,technician,married,secondary,0,4030,1,0,178,5,999,0,unknown,0
49,blue-collar,married,primary,0,365,0,0,59,2,999,0,unknown,0
41,self-employed,married,primary,0,204,0,0,111,7,999,0,unknown,0
54,management,married,primary,0,1691,1,0,186,1,999,0,unknown,0
32,services,single,secondary,0,406,1,0,227,1,999,0,unknown,0
33,technician,married,secondary,0,-204,0,0,297,3,999,0,unknown,0
33,technician,married,secondary,0,359,1,0,210,1,242,1,other,0
36,blue-collar,married,primary,0,123,1,0,9,1,999,0,unknown,0
35,technician,married,tertiary,0,0,1,1,112,1,62,6,other,0
52,unknown,married,secondary,0,142,0,0,112,6,999,0,unknown,0
40,entrepreneur,married,tertiary,0,3571,0,0,222,3,999,0,unknown,0
44,technician,single,secondary,0,33,1,0,195,3,351,10,failure,0
45,blue-collar,single,secondary,0,0,1,0,768,2,91,5,success,0
30,student,single,secondary,0,3096,0,0,123,1,999,0,unknown,0
48,technician,divorced,secondary,1,20,0,0,145,3,999,0,unknown,0
33,blue-collar,married,secondary,0,3576,1,0,124,1,308,2,other,0
57,technician,married,unknown,0,206,1,0,216,3,999,0,unknown,0
57,housemaid,married,primary,0,7082,0,0,69,3,999,0,unknown,0
51,unemployed,married,tertiary,0,1634,1,0,168,4,999,0,unknown,0
34,admin.,single,secondary,0,1,1,0,483,7,999,0,unknown,0
50,self-employed,married,tertiary,0,4012,0,0,690,3,999,0,unknown,0
44,management,married,tertiary,0,3762,0,0,125,12,999,0,unknown,0
27,admin.,married,secondary,0,-247,1,1,344,2,999,0,unknown,0
50,blue-collar,married,secondary,0,606,1,0,673,2,999,0,unknown,0
36,management,married,tertiary,0,0,1,0,60,1,250,1,other,0
42,management,married,secondary,0,-189,1,0,247,2,999,0,unknown,0
32,unemployed,single,secondary,0,0,0,0,123,2,999,0,unknown,0
42,management,married,tertiary,0,484,1,0,144,2,999,0,unknown,0
43,technician,married,secondary,0,0,0,1,9,2,172,5,failure,0
31,management,married,tertiary,0,395,1,0,155,3,999,0,unknown,0
32,management,married,tertiary,0,2349,0,0,134,5,999,0,unknown,0
55,blue-collar,divorced,primary,0,410,0,1,221,2,999,0,unknown,0
58,retired,married,primary,0,3401,1,0,84,3,265,2,failure,0
46,blue-collar,married,primary,0,222,0,0,71,2,999,0,unknown,0
55,blue-collar,married,secondary,0,989,1,1,246,4,999,0,unknown,0
34,management,married,tertiary,0,415,0,1,361,2,999,0,unknown,0
28,unemployed,single,secondary,0,16,0,0,119,4,999,0,unknown,0
42,technician,divorced,tertiary,0,7190,1,0,375,2,999,0,unknown,0
29,blue-collar,single,secondary,0,482,0,1,1097,3,999,0,unknown,1
54,housemaid,married,secondary,0,209,1,1,97,1,999,0,unknown,0
32,technician,single,secondary,0,0,0,0,181,2,999,0,unknown,0
39,technician,single,tertiary,0,5803,0,0,83,3,999,0,unknown,0
53,entrepreneur,married,tertiary,0,624,0,1,180,4,999,0,unknown,0
58,technician,married,tertiary,0,883,0,0,543,1,78,2,failure,0
40,self-employed,married,secondary,0,1516,1,1,373,1,999,0,unknown,0
29,student,single,secondary,0,872,1,0,230,1,999,0,unknown,0
33,technician,married,tertiary,0,-988,1,1,83,3,999,0,unknown,0
38,admin.,single,secondary,0,902,1,0,58,13,999,0,unknown,0
56,services,divorced,secondary,0,1007,0,0,88,6,999,0,unknown,0
40,services,married,secondary,0,0,1,0,297,1,28,3,failure,0
24,blue-collar,single,secondary,0,174,1,1,487,1,999,0,unknown,1
46,management,married,secondary,0,12186,0,0,29,3,999,0,unknown,0
35,self-employed,married,secondary,0,524,1,0,484,4,999,0,unknown,0
35,blue-collar,single,tertiary,0,0,1,0,262,4,999,0,unknown,0
34,technician,married,secondary,0,4,1,0,644,1,999,0,unknown,0
35,housemaid,married,tertiary,0,11219,0,0,699,2,79,1,failure,0
38,technician,single,tertiary,0,0,0,0,247,2,999,0,unknown,0
50,blue-collar,married,primary,0,5776,0,0,49,3,999,0,unknown,0
51,blue-collar,divorced,primary,0,37,1,0,341,1,999,0,unknown,0
59,self-employed,married,tertiary,0,593,0,0,64,2,999,0,unknown,0
32,blue-collar,married,secondary,0,1148,1,0,121,1,999,0,unknown,0
37,blue-collar,single,secondary,0,3561,1,0,98,1,999,0,unknown,0
42,admin.,divorced,secondary,0,63,0,0,88,6,999,0,unknown,0
40,student,married,secondary,0,260,0,0,197,6,999,0,unknown,0
28,technician,single,tertiary,0,2269,1,0,331,1,999,0,unknown,0
47,admin.,married,secondary,0,1060,1,0,83,3,999,0,unknown,0
27,self-employed,married,secondary,0,-220,1,0,138,2,999,0,unknown,0
41,management,married,tertiary,0,49,1,0,312,5,999,0,unknown,0
34,admin.,married,tertiary,0,69,0,1,120,3,1,6,success,1
50,blue-collar,married,primary,0,4108,1,0,526,2,999,0,unknown,1
47,blue-collar,married,secondary,0,480,1,0,211,2,999,0,unknown,0
53,services,married,secondary,0,4994,0,0,62,6,999,0,unknown,0
53,technician,divorced,secondary,0,0,1,1,135,5,999,0,unknown,0
47,management,married,tertiary,0,3681,0,0,101,2,999,0,unknown,0
49,entrepreneur,divorced,unknown,1,-701,1,0,988,2,999,0,unknown,1
29,management,married,tertiary,0,451,0,0,451,1,999,0,unknown,0
45,blue-collar,divorced,primary,0,-311,1,0,1030,1,999,0,unknown,1
38,entrepreneur,married,secondary,0,593,1,1,1484,24,999,0,unknown,1
32,blue-collar,married,secondary,0,759,1,0,317,5,999,0,unknown,1
70,retired,divorced,primary,0,4531,0,0,445,1,999,0,unknown,0
65,retired,divorced,primary,0,1840,0,0,383,2,188,5,failure,0
56,blue-collar,married,secondary,0,345,1,0,605,1,999,0,unknown,0
35,blue-collar,married,secondary,0,1287,1,0,330,2,999,0,unknown,0
56,management,married,unknown,0,353,0,1,171,2,999,0,unknown,0
56,technician,married,secondary,0,205,0,1,442,2,999,0,unknown,0
49,entrepreneur,married,secondary,0,687,1,0,772,1,999,0,unknown,1
38,unemployed,married,primary,0,1147,1,1,249,5,999,0,unknown,0
35,management,married,tertiary,0,4286,1,0,357,1,999,0,unknown,0
38,admin.,married,tertiary,0,605,0,0,147,2,999,0,unknown,0
49,blue-collar,married,secondary,0,8545,1,1,199,7,167,1,failure,0
55,management,married,unknown,0,559,0,0,271,2,999,0,unknown,0
43,blue-collar,single,primary,0,2,1,0,783,3,999,0,unknown,0
43,management,married,tertiary,0,2,0,1,472,2,999,0,unknown,0
25,admin.,single,tertiary,0,760,1,0,223,3,89,2,failure,1
30,blue-collar,married,primary,0,1317,1,0,395,2,999,0,unknown,0
46,blue-collar,married,secondary,0,182,0,0,56,1,999,0,unknown,0
50,admin.,married,primary,0,276,0,1,641,6,999,0,unknown,0
35,entrepreneur,married,secondary,0,2971,0,0,429,4,164,2,failure,1
26,unemployed,single,secondary,0,1064,0,0,113,1,999,0,unknown,0
45,admin.,married,unknown,0,1783,0,0,11,11,999,0,unknown,0
37,blue-collar,married,secondary,0,-67,0,0,157,1,999,0,unknown,0
60,self-employed,single,tertiary,0,179,0,1,79,4,999,0,unknown,0
38,management,married,tertiary,0,1199,0,0,178,1,1,1,success,1
47,blue-collar,married,primary,0,214,1,1,168,1,999,0,unknown,0
33,technician,married,secondary,0,6699,0,0,425,1,462,1,failure,0
51,unemployed,married,secondary,0,1760,0,1,162,1,999,0,unknown,0
35,entrepreneur,single,tertiary,0,145,1,0,799,2,999,0,unknown,1
35,unemployed,married,secondary,0,978,0,0,1370,3,209,3,success,1
48,admin.,single,secondary,0,1150,1,0,357,1,999,0,unknown,0
37,admin.,married,secondary,0,121,0,0,22,6,999,0,unknown,0
29,technician,single,tertiary,0,828,1,0,215,3,321,3,other,0
34,admin.,married,secondary,0,244,1,0,56,4,999,0,unknown,0
32,services,married,primary,0,228,1,0,1017,6,999,0,unknown,1
30,management,single,tertiary,0,424,0,0,298,4,999,0,unknown,1
47,management,divorced,tertiary,0,447,0,1,126,1,999,0,unknown,0
33,blue-collar,married,primary,0,-195,0,0,9,1,999,0,unknown,0
33,management,single,tertiary,0,1410,1,0,8,1,254,5,failure,0
63,retired,married,primary,0,1084,0,0,201,1,183,1,success,0
51,self-employed,divorced,primary,0,10924,0,0,106,2,999,0,unknown,0
41,management,married,tertiary,0,832,1,1,164,1,176,1,failure,0
56,retired,married,tertiary,0,478,0,0,97,1,999,0,unknown,0
60,management,single,tertiary,0,0,0,1,151,1,999,0,unknown,0
41,self-employed,single,tertiary,0,3950,1,0,96,2,999,0,unknown,0
37,management,single,unknown,0,504,1,0,555,1,999,0,unknown,0
36,blue-collar,single,secondary,0,219,1,1,270,2,347,1,failure,0
57,management,married,tertiary,0,1602,0,0,339,3,999,0,unknown,0
55,management,married,primary,0,2587,0,0,328,2,94,2,success,1
44,admin.,married,secondary,0,0,1,1,159,1,999,0,unknown,0
47,self-employed,married,tertiary,0,2303,1,0,323,2,364,1,failure,0
31,blue-collar,married,secondary,0,1660,1,0,342,1,999,0,unknown,0
35,management,married,tertiary,1,32,1,0,180,1,999,0,unknown,0
39,management,married,tertiary,0,278,0,1,60,3,999,0,unknown,0
50,management,married,tertiary,0,4,0,0,223,1,96,2,failure,0
29,management,married,tertiary,0,318,1,0,1434,2,356,4,failure,0
30,services,single,secondary,0,209,1,0,30,2,999,0,unknown,0
46,services,married,secondary,0,271,1,0,134,4,999,0,unknown,0
27,management,single,unknown,0,3196,0,0,10,2,999,0,unknown,0
48,admin.,divorced,secondary,0,4099,0,0,397,2,999,0,unknown,1
26,student,single,secondary,0,2572,1,0,620,1,999,0,unknown,0
36,management,single,tertiary,0,339,0,0,6,6,999,0,unknown,0
42,blue-collar,married,primary,0,0,1,1,209,2,999,0,unknown,0
50,housemaid,married,primary,0,395,1,0,419,2,999,0,unknown,0
49,blue-collar,married,secondary,0,2039,1,0,283,2,999,0,unknown,0
45,management,married,tertiary,0,5450,0,0,188,2,999,0,unknown,0
23,student,single,secondary,0,780,0,0,267,1,999,0,unknown,0
38,technician,single,secondary,0,0,1,0,196,2,999,0,unknown,0
32,management,single,tertiary,0,8436,1,0,245,1,149,2,failure,0
60,technician,single,primary,0,11262,0,0,323,1,999,0,unknown,1
30,entrepreneur,married,secondary,0,946,1,0,1065,1,183,1,other,0
58,housemaid,married,tertiary,0,497,0,0,138,5,999,0,unknown,0
60,retired,married,primary,0,55,0,0,207,1,999,0,unknown,0
38,services,married,secondary,0,-140,0,0,456,3,999,0,unknown,0
51,technician,married,secondary,0,-379,1,0,261,1,999,0,unknown,0
42,admin.,married,secondary,0,-396,1,0,80,1,308,4,failure,0
30,services,single,secondary,0,0,1,0,131,6,363,9,failure,0
40,management,married,primary,0,733,1,0,94,7,999,0,unknown,0
37,management,married,tertiary,0,393,1,0,567,3,275,4,failure,1
53,technician,divorced,primary,0,7290,1,0,153,1,999,0,unknown,0
27,services,single,secondary,0,468,1,0,109,1,999,0,unknown,0
39,blue-collar,married,secondary,0,0,1,0,53,1,325,1,failure,0
39,blue-collar,married,primary,0,3705,1,0,77,1,999,0,unknown,0
59,retired,married,tertiary,0,9676,0,0,234,2,999,0,unknown,1
37,services,married,secondary,0,1328,1,0,121,2,341,4,failure,0
41,blue-collar,married,primary,0,8,1,0,155,2,999,0,unknown,0
45,blue-collar,married,primary,0,61,0,0,108,1,999,0,unknown,0
48,management,married,tertiary,0,6613,0,0,159,3,999,0,unknown,0
48,technician,married,secondary,0,302,1,0,208,3,999,0,unknown,0
32,blue-collar,married,secondary,0,1005,0,0,215,1,999,0,unknown,0
35,services,married,secondary,0,109,1,0,597,3,999,0,unknown,0
33,management,single,tertiary,0,1240,1,0,505,2,260,1,other,0
28,blue-collar,single,primary,0,0,1,1,380,4,999,0,unknown,0
64,retired,married,unknown,0,2923,0,0,120,1,999,0,unknown,0
35,technician,married,secondary,0,0,0,0,106,4,999,0,unknown,0
33,blue-collar,married,secondary,0,43,1,0,332,2,358,2,failure,0
41,technician,married,secondary,0,288,1,0,221,4,999,0,unknown,0
34,admin.,married,secondary,0,613,1,0,80,1,999,0,unknown,0
37,technician,single,tertiary,0,6101,0,0,60,5,87,1,success,0
38,blue-collar,married,primary,0,168,1,1,212,3,999,0,unknown,0
39,blue-collar,married,primary,0,7685,1,0,493,3,999,0,unknown,0
35,technician,divorced,tertiary,0,4515,1,0,98,2,999,0,unknown,0
28,blue-collar,single,secondary,0,517,0,1,681,1,999,0,unknown,1
27,blue-collar,single,secondary,0,148,0,0,203,1,999,0,unknown,0
48,retired,married,primary,1,-285,0,1,157,1,999,0,unknown,0
50,blue-collar,married,secondary,0,887,0,0,287,1,999,0,unknown,0
